industria;nps;razones
banca;NEUTRAL;TIENEN BUENA ATENCION A LA HORA DE PAGAR
banca;PROMOTOR;ES RAPIDO Y SEGURO SE PUEDE REALIZAR EL PAGO DESDE CASA
banca;NEUTRAL;A VECES EL APP DEL BIM NO FUNCIONA PARA REALIZAR EL PAGO
banca;NEUTRAL;ES MAS FACIL Y RAPIDO REALIZAR EL PAGO
banca;PROMOTOR;ES MAS RAPIDO Y PRACTICO DESDE EL CELULAR
banca;DETRACTOR;A VECES NO SE PUEDE REALIZAR EL PAGO POR EL BIM
banca;PROMOTOR;ES MAS SEGURO EVITA LAS COLAS
banca;PROMOTOR;ES MAS FACIL Y RAPIDO SE PUEDE PAGAR EN CUALQUIER AGENTE Y SE EVITA LAS COLAS
banca;PROMOTOR;PORQUE NO TENGO PROBLEMAS CON BIM, AUNQUE A VECES DEMORA EN INGRESAR
banca;NEUTRAL;PORQUE HAY OPCIONES QUE DEBERIAN SER MAS ESPECIFICAS,  SUGIERO QUE LA APLICACION SEA MAS AMIGABLE, DEBO DE PONER CREDITO GRUPAL, DEBO PONER OTROS CODIGOS, CUANDO UNO PONE CODIGOS INCORRECTOS IGUAL LA APLICACION ACEPTA, Y SE GENERA EL PAGO DE FORMA INCORRECTA Y NO BRINDA LA OPCION DE RETROCEDER O CANCELAR. CUANDO LLAME A BIM CENTER NO ME BRINDARON SOLUCION, SE DEMORAN DEMASIADO HASTA CUARENTA Y OCHO HORAS Y ESO GENERA MORA
banca;PROMOTOR;ES MAS RAPIDO EL PAGO SIN HACER COLAS
banca;PROMOTOR;PORQUE TRABAJO BIEN CON BIM, EN CUALQUIER MOMENTO QUE USO EL BIM NO HE TENIDO PROBLEMAS, ES RAPIDO
banca;PROMOTOR;PORQUE ES MUCHO MAS RAPIDO, ES MAS FACIL PAGAR POR BIM, LO PUEDO HACER MIENTRAS HAGO OTRAS COSAS, NO NECESITO IR A LA FINANCIERA.
banca;PROMOTOR;PORQUE NO HE TENIDO EN PROBLEMAS CON PAGAR POR BIM, ADEMAS ES FACIL
banca;DETRACTOR;PORQUE NO PODIA HACER LA TANSACCION, NO APARECIA EL MONTO EN MI SALDO, DESPUES LO SOLUCIONARON, SE DEMORARON APROXIMADAMENTE TRES DIAS EN SOLUCIONARLO
