industria,nps,razones,crdito | hacer | dinero,ms | intereses | inters,colas | ir | evito,problema | comision | accesible,sistema | retirar | agentes,otros,sent_neg,sent_neutral,sent_pos,joy,sadness,anger,surprise,disgust,fear,others,hateful,targeted,aggressive
banca,NEUTRAL,tienen buena atencion a la hora de pagar,0,0,1,1,0,0,0.0016976735787466168,0.7923601269721985,0.20594219863414764,0.012971818447113037,0.005121244117617607,0.003428870579227805,0.013839839026331902,0.00392797589302063,0.0036384440027177334,0.9570719003677368,0.05380822345614433,0.009898941963911057,0.02395585924386978
banca,PROMOTOR,es rapido y seguro se puede realizar el pago desde casa,0,0,1,0,0,0,0.0029799281619489193,0.9373421669006348,0.059677910059690475,0.0394781231880188,0.006902792956680059,0.002799173817038536,0.008801203221082687,0.0024390786420553923,0.003262410406023264,0.9363173842430115,0.03792310133576393,0.01183063443750143,0.01910308189690113
banca,NEUTRAL,a veces el app del bim no funciona para realizar el pago,0,0,0,0,1,0,0.9924896359443665,0.007207144983112812,0.0003032528911717236,0.0031544684898108244,0.031996555626392365,0.007214132696390152,0.003370073391124606,0.003165071364492178,0.0038672438822686672,0.9472323060035706,0.02002960816025734,0.008151189424097538,0.013724184595048428
banca,NEUTRAL,es mas facil y rapido realizar el pago,0,0,0,0,1,0,0.008987168781459332,0.9723463654518127,0.018666444346308708,0.05342385172843933,0.022476091980934143,0.009122170507907867,0.017028512433171272,0.00893805269151926,0.007590457331389189,0.881420910358429,0.0643109530210495,0.014421558938920498,0.02906190976500511
banca,PROMOTOR,es mas rapido y practico desde el celular,0,0,1,0,0,0,0.008848778903484344,0.9465916156768799,0.04455963522195816,0.09707832336425781,0.015803106129169464,0.005729821510612965,0.02184862457215786,0.006704189348965883,0.008838780224323273,0.8439970016479492,0.12948884069919586,0.02369350753724575,0.040289655327796936
banca,DETRACTOR,a veces no se puede realizar el pago por el bim,0,0,0,0,1,0,0.8636692762374878,0.13548427820205688,0.0008463631966151297,0.004020490683615208,0.025584349408745766,0.003261856734752655,0.005395001266151667,0.0019171827007085085,0.0028161914087831974,0.9570048451423645,0.020805655047297478,0.007506529800593853,0.012760245241224766
banca,PROMOTOR,es mas seguro evita las colas,0,0,1,0,0,0,0.014707256108522415,0.9557913541793823,0.029501350596547127,0.05943303182721138,0.03211706876754761,0.024632098153233528,0.029004452750086784,0.026795171201229095,0.022839363664388657,0.805178701877594,0.2677905261516571,0.018684469163417816,0.08713922649621964
banca,PROMOTOR,es mas facil y rapido se puede pagar en cualquier agente y se evita las colas,0,0,1,0,0,0,0.014280200935900211,0.7361018061637878,0.24961797893047333,0.12547992169857025,0.017467014491558075,0.008647794835269451,0.017333626747131348,0.009521614760160446,0.009609609842300415,0.811940610408783,0.13883300125598907,0.012767478823661804,0.04939546063542366
banca,PROMOTOR,"porque no tengo problemas con bim, aunque a veces demora en ingresar",0,0,0,0,1,0,0.0033408072777092457,0.7790440917015076,0.21761515736579895,0.026554349809885025,0.007927028462290764,0.00453346548601985,0.0056985546834766865,0.0029994125943630934,0.0034632161259651184,0.9488239884376526,0.04050367698073387,0.008581877686083317,0.02023325487971306
banca,NEUTRAL,"porque hay opciones que deberian ser mas especificas,  sugiero que la aplicacion sea mas amigable, debo de poner credito grupal, debo poner otros codigos, cuando uno pone codigos incorrectos igual la aplicacion acepta, y se genera el pago de forma incorrecta y no brinda la opcion de retroceder o cancelar. cuando llame a bim center no me brindaron solucion, se demoran demasiado hasta cuarenta y ocho horas y eso genera mora",1,0,0,1,0,0,0.8839406371116638,0.11482846736907959,0.0012308600125834346,0.006144455634057522,0.057900961488485336,0.16730651259422302,0.007126581855118275,0.0397053025662899,0.012840533629059792,0.708975613117218,0.24925120174884796,0.012784421443939209,0.07412072271108627
banca,PROMOTOR,es mas rapido el pago sin hacer colas,0,0,1,0,0,0,0.040508706122636795,0.5705959796905518,0.3888953626155853,0.1015232726931572,0.02780791185796261,0.026767436414957047,0.03330596908926964,0.026140786707401276,0.020500989630818367,0.7639537453651428,0.15831519663333893,0.012033763341605663,0.048101756721735
banca,PROMOTOR,"porque trabajo bien con bim, en cualquier momento que uso el bim no he tenido problemas, es rapido",0,0,1,0,1,0,0.0008661227766424417,0.09650131314992905,0.9026325941085815,0.5221661329269409,0.004212784580886364,0.0026123286224901676,0.00914750061929226,0.0023916461504995823,0.002452677581459284,0.4570169746875763,0.04106971248984337,0.008131313137710094,0.016402924433350563
banca,PROMOTOR,"porque es mucho mas rapido, es mas facil pagar por bim, lo puedo hacer mientras hago otras cosas, no necesito ir a la financiera.",0,0,1,0,0,0,0.03347275033593178,0.6057575345039368,0.36076971888542175,0.10960366576910019,0.03378961607813835,0.015439117327332497,0.012681061401963234,0.008908972144126892,0.006924436427652836,0.8126532435417175,0.12300137430429459,0.01443430595099926,0.038248460739851
banca,PROMOTOR,"porque no he tenido en problemas con pagar por bim, ademas es facil",0,0,1,0,0,0,0.016524722799658775,0.8091719746589661,0.17430339753627777,0.1903364360332489,0.038968659937381744,0.022869519889354706,0.04077615588903427,0.017213208600878716,0.009401747956871986,0.6804342269897461,0.07255731523036957,0.009969968348741531,0.023335713893175125
banca,DETRACTOR,"porque no podia hacer la tansaccion, no aparecia el monto en mi saldo, despues lo solucionaron, se demoraron aproximadamente tres dias en solucionarlo",1,0,0,1,0,0,0.9703527092933655,0.028749017044901848,0.0008982184808701277,0.014112897217273712,0.09155965596437454,0.1696818470954895,0.019899945706129074,0.03092779405415058,0.014474195428192616,0.6593436598777771,0.08673781156539917,0.01544201374053955,0.03070642799139023
banca,NEUTRAL,"porque no he tenido inconvenientes pagando por bim, pero he tenido problemas con el desembolso, no me agarraba la clave, no podia ingresar. cuando llame al call center de bim, me atendieron bien",0,0,0,1,0,0,0.23028233647346497,0.7577870488166809,0.011930557899177074,0.02082107402384281,0.04448345676064491,0.019676372408866882,0.008518758229911327,0.005054496694356203,0.0054170601069927216,0.8960288763046265,0.035773783922195435,0.010335095226764679,0.020653586834669113
banca,NEUTRAL,"porque a veces es un problema pagar con bim, no estamos actualizadas con el tema de internet, se me hace mas facil el pago porque ayuda, nos saca de apuro, pero el poner la clave, ingresar, se me hace un poco dificil, sugiero que la interfaz sea mas amigable",0,0,0,1,0,0,0.9947581887245178,0.004925271961838007,0.0003164649533573538,0.008162488229572773,0.1811605989933014,0.2133469581604004,0.008215351030230522,0.035745661705732346,0.026333428919315338,0.5270355343818665,0.14300678670406342,0.011423436924815178,0.038077905774116516
banca,PROMOTOR,"porque para mi es mas facil por el bim, desde el celular hago la transferencia evito ir a la agencia, desde la comodidad de mi casa, es mas sencillo. me gustaria que haya mas agentes que me permitan retirar, me permiten depositar pero no retirar y debo buscar otros agentes",0,0,1,0,0,0,0.009249051101505756,0.986649215221405,0.004101700149476528,0.04952482879161835,0.010170885361731052,0.004396748263388872,0.006854830775409937,0.0037716571241617203,0.004009409341961145,0.921271562576294,0.28687527775764465,0.014593115076422691,0.0797707587480545
banca,PROMOTOR,es mas rapido y seguro,0,0,0,0,0,1,0.01232917420566082,0.9544336199760437,0.03323725610971451,0.13234393298625946,0.044489555060863495,0.016737759113311768,0.032587889581918716,0.020842446014285088,0.018429875373840332,0.7345685958862305,0.16423510015010834,0.03229379281401634,0.057605236768722534
banca,DETRACTOR,"porque tuve muchos problemas para pagar con bim, no vuelvo a usar el bim",0,0,0,0,1,0,0.9936460256576538,0.0054317801259458065,0.0009222861845046282,0.017492638900876045,0.14385958015918732,0.07568761706352234,0.005642885807901621,0.013485199771821499,0.006016187835484743,0.737815797328949,0.024098452180624008,0.00821885745972395,0.01741614192724228
banca,NEUTRAL,"porque a veces el sistema falla, y no hay agencias de bim",0,0,0,0,1,0,0.9696215391159058,0.02969694882631302,0.0006815463420934975,0.005043512210249901,0.038508083671331406,0.0233798548579216,0.006251903250813484,0.00824551098048687,0.008490372449159622,0.9100809097290039,0.0976511761546135,0.006813620682805777,0.026599392294883728
banca,PROMOTOR,"porque es mas simple los pagos, evito la cola. no he tenido problemas con bim. me comunique al bim center y se demoraron en resolverlo quince dias, no podia abrir el bim, me dijeron que tenia problemas con el equipo, no me daban solucion, pasaron quince dias de tramite, tuve que comprar otro equipo para instalar e l bim",0,0,0,1,0,0,0.3337003290653229,0.6579390168190002,0.008360655978322029,0.08642960339784622,0.08348938077688217,0.11919649690389633,0.013506975956261158,0.024626927450299263,0.008960719220340252,0.6637899279594421,0.1292526125907898,0.013123605400323868,0.044105928391218185
banca,PROMOTOR,porque es super practico,0,0,1,1,0,0,0.004686901345849037,0.973404586315155,0.021908529102802277,0.10081157833337784,0.033907704055309296,0.030066020786762238,0.08762211352586746,0.03847721219062805,0.018296489492058754,0.6908189654350281,0.07912522554397583,0.023555323481559753,0.025287777185440063
banca,PROMOTOR,porque es practico pero es dificil encontrar lugares para retirar,0,0,0,0,1,0,0.8128801584243774,0.1861548274755478,0.000964944832958281,0.014386795461177826,0.054741110652685165,0.005604486912488937,0.019088640809059143,0.006548192352056503,0.01298914011567831,0.8866415619850159,0.06715058535337448,0.007844517007470131,0.019961901009082794
