edad,genero,departamento,tema
45,Varón,Montevideo,
24,Mujer,Montevideo,Medio ambiente
20,Mujer,Maldonado,
30,Mujer,Montevideo,
25,Mujer,Montevideo,
31,Mujer,Canelones,Inseguridad 
26,Mujer,Montevideo,Situación de los jóvenes del país
34,Varón,Montevideo,Fragmentación social en Uruguay 
34,Mujer,Maldonado,Sobre mascotas y pasatiempos 
27,Mujer,Montevideo,"Manejo ideológico de las ""noticias"" por los medios de comunicación masivos "
30,Mujer,Montevideo,seguridad
55,Mujer,Montevideo,Adicciones
31,Mujer,Canelones,NS/NC
29,Mujer,Montevideo,
32,Mujer,Maldonado,Impacto en el comportamiento  social del covid
25,Varón,Canelones,Un espacio donde podamos realizar aportes. 
32,Varón,Montevideo,Educación 
19,Mujer,Cerro Largo,
27,Varón,Montevideo,Desempleo
29,Mujer,Montevideo,
29,Mujer,Montevideo,"Educación, medios de comunicación, responsabilidad periodística. "
31,Varón,Montevideo,_
32,Mujer,Montevideo,Covid 19 y patologías cronicas
34,Mujer,Montevideo,Avicultura
28,Mujer,Montevideo,No se
34,Mujer,Canelones,.
63,Mujer,Soriano,
32,Mujer,Canelones,Abuso policial/Inmigración
25,Mujer,Montevideo,Salud 
32,Varón,Salto,Salud Mental 
33,Mujer,Montevideo,
23,Mujer,Montevideo,Estado anímico de las personas 
18,Mujer,Montevideo,
76,Varón,Canelones,
34,Mujer,Montevideo,Desigualdad
22,Varón,Montevideo,
27,Varón,Montevideo,Efecto Rebaño
33,Mujer,Montevideo, Seguridad
32,Varón,Montevideo,
27,Varón,Salto,
32,Mujer,Montevideo,
30,Varón,Montevideo,Economía
28,Mujer,Canelones,
32,Mujer,Montevideo,Medioambientales
30,Mujer,Montevideo,Ayuda social
28,Varón,Soriano,"concientizacion de la población, violencia, inseguridad, educación "
32,Mujer,Flores,"Educación, empleo y salud"
32,Mujer,Maldonado,.
30,Mujer,Montevideo,
59,Otro,Montevideo,EL FUTURO DE URUGUAY (la visión de c/u)A CORTO Y LARGO PLAZO.
45,Varón,Montevideo,Sobre la inseguridad y el miedo que tiene la gente de salir a la calle.
55,Varón,Rocha,Los politicos puensen mas en la gente que no mientan tanto 
32,Varón,Montevideo,Inseguridad
38,Varón,Montevideo,Seguridad
61,Varón,Canelones,Política
60,Varón,Montevideo,LA HUMANIDAD POS PANDEMIA
52,Varón,Montevideo,Económico
62,Varón,Montevideo,Mentiras del presidente
40,Varón,Canelones,"Estabilidad laboral, desempleo."
71,Varón,Montevideo,Seguridad jurídica en Uruguay 
54,Varón,Montevideo,Transporte urbano
27,Mujer,Montevideo,
50,Varón,Canelones,Violencia intrafamiliar 
47,Varón,Colonia,Ciencia y leyes
35,Varón,Montevideo,
42,Varón,Montevideo,Fuentes laborales 
61,Varón,Canelones,
56,Varón,Paysandu,Corrupción municipal y en los medios de prensa
60,Varón,Montevideo,Ecologicos
44,Varón,Canelones,habitos saludables
61,Varón,Montevideo,Pobresa
36,Varón,Montevideo,Medio ambiente 
62,Varón,Rivera,DESCENTRALIZACION CONCIENTE Y EFECTIVA
